,title,top_cast
3,Scream,Lisa Beach
3,Scream,Tony Kilbert
4,Me and Earl and the Dying Girl,Thomas Mann
4,Me and Earl and the Dying Girl,RJ Cyler
4,Me and Earl and the Dying Girl,Olivia Cooke
4,Me and Earl and the Dying Girl,Nick Offerman
4,Me and Earl and the Dying Girl,Connie Britton
4,Me and Earl and the Dying Girl,Molly Shannon
4,Me and Earl and the Dying Girl,Jon Bernthal
4,Me and Earl and the Dying Girl,Matt Bennett
4,Me and Earl and the Dying Girl,Katherine Hughes
4,Me and Earl and the Dying Girl,Masam Holden
4,Me and Earl and the Dying Girl,Bobb'e J. Thompson
4,Me and Earl and the Dying Girl,Gavin Dietz
4,Me and Earl and the Dying Girl,Edward DeBruce III
4,Me and Earl and the Dying Girl,Natalie Marchelletta
4,Me and Earl and the Dying Girl,Chelsea Zhang
4,Me and Earl and the Dying Girl,Marco Zappala
4,Me and Earl and the Dying Girl,Kaza Marie Ayersman
4,Me and Earl and the Dying Girl,Etta Cox
5,Fantasia,Leopold Stokowski
5,Fantasia,Deems Taylor
5,Fantasia,The Philadelphia Orchestra
5,Fantasia,Corey Burton
5,Fantasia,Grey DeLilse
5,Fantasia,Walt Disney
5,Fantasia,Hugh Douglas
5,Fantasia,James MacDonald
5,Fantasia,Tim Matheson
5,Fantasia,Julietta Novis
5,Fantasia,"Paul J. Smith"""
6,Eddie the Eagle,Taron Egerton
6,Eddie the Eagle,Hugh Jackman
6,Eddie the Eagle,Tom Costello
6,Eddie the Eagle,Jo Hartley
6,Eddie the Eagle,Keith Allen
6,Eddie the Eagle,Dickon Tolson
6,Eddie the Eagle,Jack Costello
6,Eddie the Eagle,Mark Benton
6,Eddie the Eagle,Tim McInnerny
6,Eddie the Eagle,Edvin Endre
6,Eddie the Eagle,Mads Sjøgård Pettersen
6,Eddie the Eagle,Marc Benjamin
6,Eddie the Eagle,Iris Berben
6,Eddie the Eagle,Rune Temte
6,Eddie the Eagle,Carlton Bunce
6,Eddie the Eagle,Joachim Raaf
6,Eddie the Eagle,Sean Jackson
6,Eddie the Eagle,Daniel Ings
7,Beerfest,Jay Chandrasekhar
7,Beerfest,Kevin Heffernan
7,Beerfest,Steve Lemme
7,Beerfest,Paul Soter
7,Beerfest,M.C. Gainey
7,Beerfest,Erik Stolhanske
7,Beerfest,Cloris Leachman
7,Beerfest,Jürgen Prochnow
7,Beerfest,Cameron Scher
7,Beerfest,Owain Yeoman
7,Beerfest,Tom Tate
7,Beerfest,Allan Graf
7,Beerfest,Chris Moss
7,Beerfest,Bjorn Johnson
7,Beerfest,Collin Thornton
7,Beerfest,Pab Schwendimann
7,Beerfest,Philippe Brenninkmeyer
7,Beerfest,Jessica Williams
8,Maleficent,Angelina Jolie
8,Maleficent,Elle Fanning
8,Maleficent,Sharlto Copley
8,Maleficent,Lesley Manville
8,Maleficent,Imelda Staunton
8,Maleficent,Juno Temple
8,Maleficent,Sam Riley
8,Maleficent,Brenton Thwaites
8,Maleficent,Kenneth Cranham
8,Maleficent,Sarah Flind
8,Maleficent,Hannah New
8,Maleficent,Isobelle Molloy
8,Maleficent,Michael Higgins
8,Maleficent,Ella Purnell
8,Maleficent,Jackson Bews
8,Maleficent,Angus Wright
8,Maleficent,Oliver Maltman
8,Maleficent,Gary Cargill
9,Star Trek,Chris Pine
9,Star Trek,Zachary Quinto
9,Star Trek,Simon Pegg
9,Star Trek,Leonard Nimoy
9,Star Trek,Eric Bana
9,Star Trek,Bruce Greenwood
9,Star Trek,Karl Urban
9,Star Trek,Zoe Saldana
9,Star Trek,John Cho
9,Star Trek,Anton Yelchin
9,Star Trek,Ben Cross
9,Star Trek,Winona Ryder
9,Star Trek,Chris Hemsworth
9,Star Trek,Jennifer Morrison
9,Star Trek,Rachel Nichols
9,Star Trek,Faran Tahir
9,Star Trek,Clifton Collins Jr.
9,Star Trek,Tony Elias
10,Transformers: Age of Extinction,Mark Wahlberg
10,Transformers: Age of Extinction,Nicola Peltz
10,Transformers: Age of Extinction,Jack Reynor
10,Transformers: Age of Extinction,Stanley Tucci
10,Transformers: Age of Extinction,Kelsey Grammer
10,Transformers: Age of Extinction,Titus Welliver
10,Transformers: Age of Extinction,Sophia Myles
10,Transformers: Age of Extinction,Bingbing Li
10,Transformers: Age of Extinction,T.J. Miller
10,Transformers: Age of Extinction,James Bachman
10,Transformers: Age of Extinction,Thomas Lennon
10,Transformers: Age of Extinction,Charles Parnell
10,Transformers: Age of Extinction,Erika Fong
10,Transformers: Age of Extinction,Michael Collins
10,Transformers: Age of Extinction,Geng Han
10,Transformers: Age of Extinction,Shiming Zou
10,Transformers: Age of Extinction,Richard Riehle
10,Transformers: Age of Extinction,Patrick Bristow
11,The Adjustment Bureau,Matt Damon
11,The Adjustment Bureau,Emily Blunt
11,The Adjustment Bureau,Lisa Thoreson
11,The Adjustment Bureau,Florence Kastriner
11,The Adjustment Bureau,Michael Kelly
11,The Adjustment Bureau,Phyllis MacBryde
11,The Adjustment Bureau,Natalie Carter
11,The Adjustment Bureau,Chuck Scarborough
11,The Adjustment Bureau,Jon Stewart
11,The Adjustment Bureau,Gregory P. Hitchen
11,The Adjustment Bureau,Darrell Lenormand
11,The Adjustment Bureau,Michael Bloomberg
11,The Adjustment Bureau,Kar
11,The Adjustment Bureau,RJ Konner
11,The Adjustment Bureau,Susan D. Michaels
11,The Adjustment Bureau,Anthony Mackie
11,The Adjustment Bureau,Gregory Lay
11,The Adjustment Bureau,Lauren Hodges
12,Before Sunrise,Ethan Hawke
12,Before Sunrise,Julie Delpy
12,Before Sunrise,Andrea Eckert
12,Before Sunrise,Hanno Pöschl
12,Before Sunrise,Karl Bruckschwaiger
12,Before Sunrise,Tex Rubinowitz
12,Before Sunrise,Erni Mangold
12,Before Sunrise,Dominik Castell
12,Before Sunrise,Haymon Maria Buttinger
12,Before Sunrise,Harald Waiglein
12,Before Sunrise,Bilge Jeschim
12,Before Sunrise,Kurti
12,Before Sunrise,Hans Weingartner
12,Before Sunrise,Liese Lyon
12,Before Sunrise,Peter Ily Huemer
12,Before Sunrise,Otto Reiter
12,Before Sunrise,Hubert Fabian Kulterer
12,Before Sunrise,Branko Andric
13,Spring Breakers,Vanessa Hudgens
13,Spring Breakers,Selena Gomez
13,Spring Breakers,Ashley Benson
13,Spring Breakers,Rachel Korine
13,Spring Breakers,James Franco
13,Spring Breakers,Gucci Mane
13,Spring Breakers,Heather Morris
13,Spring Breakers,Ash Lendzion
13,Spring Breakers,Emma Holzer
13,Spring Breakers,Lee Irby
13,Spring Breakers,Jeff Jarrett
13,Spring Breakers,Russell Stuart
13,Spring Breakers,Josh Randall
13,Spring Breakers,Travis Duncan
13,Spring Breakers,John McClain
13,Spring Breakers,Paige Anderson
13,Spring Breakers,Rebecca Kauffman
13,Spring Breakers,Tony Robinette
14,Stay,Ewan McGregor
14,Stay,Naomi Watts
14,Stay,Ryan Gosling
14,Stay,Kate Burton
14,Stay,Elizabeth Reaser
14,Stay,Bob Hoskins
14,Stay,Janeane Garofalo
14,Stay,BD Wong
14,Stay,John Tormey
14,Stay,José Ramón Rosario
14,Stay,Becky Ann Baker
14,Stay,Lisa Kron
14,Stay,Gregory Mitchell
14,Stay,John Dominici
14,Stay,Jessica Hecht
14,Stay,Sterling K. Brown
14,Stay,Amy Sedaris
14,Stay,Michael Devine
15,Free Guy,Ryan Reynolds
15,Free Guy,Jodie Comer
15,Free Guy,Taika Waititi
15,Free Guy,Lil Rel Howery
15,Free Guy,Joe Keery
15,Free Guy,Utkarsh Ambudkar
15,Free Guy,Channing Tatum
15,Free Guy,Aaron W Reed
15,Free Guy,Britne Oldford
15,Free Guy,Camille Kostek
15,Free Guy,Mark Lainer
15,Free Guy,Mike Devine
15,Free Guy,Sophie Levy
15,Free Guy,Vernon Scott
15,Free Guy,Naheem Garcia
15,Free Guy,Anabel Graetz
15,Free Guy,Ric Plamenco
15,Free Guy,Kenneth Israel
16,The Autopsy of Jane Doe,Brian Cox
16,The Autopsy of Jane Doe,Emile Hirsch
16,The Autopsy of Jane Doe,Ophelia Lovibond
16,The Autopsy of Jane Doe,Michael McElhatton
16,The Autopsy of Jane Doe,Olwen Catherine Kelly
16,The Autopsy of Jane Doe,Jane Perry
16,The Autopsy of Jane Doe,Parker Sawyers
16,The Autopsy of Jane Doe,Mary Duddy
16,The Autopsy of Jane Doe,Mark Phoenix
16,The Autopsy of Jane Doe,Sydney
16,The Autopsy of Jane Doe,Arath de la Torre
16,The Autopsy of Jane Doe,"Yves O'Hara"""
17,Cinderella,Ilene Woods
17,Cinderella,James MacDonald
17,Cinderella,Eleanor Audley
17,Cinderella,Verna Felton
17,Cinderella,Claire Du Brey
17,Cinderella,Rhoda Williams
17,Cinderella,Helene Stanley
17,Cinderella,Luis Van Rooten
17,Cinderella,Don Barclay
17,Cinderella,Lucille Bliss
17,Cinderella,Jeffrey Stone
17,Cinderella,Mike Douglas
17,Cinderella,William Phipps
17,Cinderella,Marion Darlington
17,Cinderella,Earl Keen
17,Cinderella,John Woodbury
17,Cinderella,Lucille Williams
17,Cinderella,June Foray
18,Those Who Wish Me Dead,Angelina Jolie
18,Those Who Wish Me Dead,Nicholas Hoult
18,Those Who Wish Me Dead,Finn Little
18,Those Who Wish Me Dead,Jon Bernthal
18,Those Who Wish Me Dead,Aidan Gillen
18,Those Who Wish Me Dead,Jake Weber
18,Those Who Wish Me Dead,Medina Senghore
18,Those Who Wish Me Dead,Tyler Perry
18,Those Who Wish Me Dead,Boots Southerland
18,Those Who Wish Me Dead,Tory Kittles
18,Those Who Wish Me Dead,James Jordan
18,Those Who Wish Me Dead,Lora Martinez-Cunningham
18,Those Who Wish Me Dead,Howard Ferguson Jr.
18,Those Who Wish Me Dead,Ryan Jason Cook
18,Those Who Wish Me Dead,Laura Niemi
18,Those Who Wish Me Dead,Dylan Kenin
18,Those Who Wish Me Dead,Faith Lynch
18,Those Who Wish Me Dead,Alexander Wagenman
19,Fanny and Alexander,Bertil Guve
19,Fanny and Alexander,Pernilla Allwin
19,Fanny and Alexander,Kristina Adolphson
19,Fanny and Alexander,Börje Ahlstedt
19,Fanny and Alexander,Kristian Almgren
19,Fanny and Alexander,Carl Billquist
19,Fanny and Alexander,Axel Düberg
19,Fanny and Alexander,Allan Edwall
19,Fanny and Alexander,Siv Ericks
19,Fanny and Alexander,Ewa Fröling
19,Fanny and Alexander,Patricia Gélin
19,Fanny and Alexander,Majlis Granlund
19,Fanny and Alexander,Maria Granlund
19,Fanny and Alexander,Eva von Hanno
19,Fanny and Alexander,Sonya Hedenbratt
19,Fanny and Alexander,Olle Hilding
19,Fanny and Alexander,Svea Holst
19,Fanny and Alexander,Jarl Kulle
20,Billy Madison,Adam Sandler
20,Billy Madison,Darren McGavin
20,Billy Madison,Bridgette Wilson-Sampras
20,Billy Madison,Bradley Whitford
20,Billy Madison,Josh Mostel
20,Billy Madison,Norm MacDonald
20,Billy Madison,Mark Beltzman
20,Billy Madison,Larry Hankin
20,Billy Madison,Theresa Merritt
20,Billy Madison,Dina Platias
20,Billy Madison,Hrant Alianak
20,Billy Madison,Vincent Marino
20,Billy Madison,Jack Mather
20,Billy Madison,Christopher Kelk
20,Billy Madison,Marc Donato
20,Billy Madison,Keith Cole
20,Billy Madison,Chris Mei
20,Billy Madison,Conor Devitt
21,Naked Lunch,Peter Weller
21,Naked Lunch,Judy Davis
21,Naked Lunch,Ian Holm
21,Naked Lunch,Julian Sands
21,Naked Lunch,Roy Scheider
21,Naked Lunch,Monique Mercure
21,Naked Lunch,Nicholas Campbell
21,Naked Lunch,Michael Zelniker
21,Naked Lunch,Robert A. Silverman
21,Naked Lunch,Joseph Scoren
21,Naked Lunch,Peter Boretski
21,Naked Lunch,Yuval Daniel
21,Naked Lunch,John Friesen
21,Naked Lunch,Sean McCann
21,Naked Lunch,Howard Jerome
21,Naked Lunch,Michael Caruana
21,Naked Lunch,Kurt Reis
21,Naked Lunch,Louis Ferreira
22,Wayne's World 2,Mike Myers
22,Wayne's World 2,Dana Carvey
22,Wayne's World 2,Christopher Walken
22,Wayne's World 2,Tia Carrere
22,Wayne's World 2,Chris Farley
22,Wayne's World 2,Ralph Brown
22,Wayne's World 2,James Hong
22,Wayne's World 2,Rip Taylor
22,Wayne's World 2,Steven Tyler
22,Wayne's World 2,Joe Perry
22,Wayne's World 2,Brad Whitford
22,Wayne's World 2,Tom Hamilton
22,Wayne's World 2,Joey Kramer
22,Wayne's World 2,Lee Tergesen
22,Wayne's World 2,Dan Bell
22,Wayne's World 2,Richard Epper
22,Wayne's World 2,Jenny McShane
22,Wayne's World 2,Duke Valenti
23,Eyes Wide Shut,Tom Cruise
23,Eyes Wide Shut,Nicole Kidman
23,Eyes Wide Shut,Todd Field
23,Eyes Wide Shut,Sydney Pollack
23,Eyes Wide Shut,Madison Eginton
23,Eyes Wide Shut,Jackie Sawiris
23,Eyes Wide Shut,Leslie Lowe
23,Eyes Wide Shut,Peter Hans Benson
23,Eyes Wide Shut,Michael Doven
23,Eyes Wide Shut,Sky du Mont
23,Eyes Wide Shut,Louise J. Taylor
23,Eyes Wide Shut,Stewart Thorndike
23,Eyes Wide Shut,Randall Paul
23,Eyes Wide Shut,Julienne Davis
23,Eyes Wide Shut,Lisa Leone
23,Eyes Wide Shut,Kevin Connealy
23,Eyes Wide Shut,Marie Richardson
23,Eyes Wide Shut,Thomas Gibson
24,The Invasion,Nicole Kidman
24,The Invasion,Daniel Craig
24,The Invasion,Jeremy Northam
24,The Invasion,Jackson Bond
24,The Invasion,Jeffrey Wright
24,The Invasion,Veronica Cartwright
24,The Invasion,Josef Sommer
24,The Invasion,Celia Weston
24,The Invasion,Roger Rees
24,The Invasion,Eric Benjamin
24,The Invasion,Susan Floyd
24,The Invasion,Stephanie Berry
24,The Invasion,Alexis Raben
24,The Invasion,Adam LeFevre
24,The Invasion,Joanna Merlin
24,The Invasion,Field Blauvelt
24,The Invasion,Rhonda Overby
24,The Invasion,Reid Sasser
25,I Am Sam,Sean Penn
25,I Am Sam,Michelle Pfeiffer
25,I Am Sam,Dakota Fanning
25,I Am Sam,Dianne Wiest
25,I Am Sam,Loretta Devine
25,I Am Sam,Richard Schiff
25,I Am Sam,Laura Dern
25,I Am Sam,Brad Silverman
25,I Am Sam,Joseph Rosenberg
25,I Am Sam,Stanley DeSantis
25,I Am Sam,Doug Hutchison
25,I Am Sam,Rosalind Chao
25,I Am Sam,Ken Jenkins
25,I Am Sam,Wendy Phillips
25,I Am Sam,Mason Lucero
25,I Am Sam,Scott Paulin
25,I Am Sam,Bobby Cooper
25,I Am Sam,Kit McDonough
26,Caché (Hidden),Daniel Auteuil
26,Caché (Hidden),Juliette Binoche
26,Caché (Hidden),Maurice Bénichou
26,Caché (Hidden),Annie Girardot
26,Caché (Hidden),Bernard Le Coq
26,Caché (Hidden),Walid Afkir
26,Caché (Hidden),Lester Makedonsky
26,Caché (Hidden),Daniel Duval
26,Caché (Hidden),Nathalie Richard
26,Caché (Hidden),Denis Podalydès
26,Caché (Hidden),Aïssa Maïga
26,Caché (Hidden),Caroline Baehr
26,Caché (Hidden),Christian Benedetti
26,Caché (Hidden),Philippe Besson
26,Caché (Hidden),Loic Brabant
26,Caché (Hidden),Jean-Jacques Brochier
26,Caché (Hidden),Paule Daré
26,Caché (Hidden),Louis-Do de Lencquesaing
27,Head-On,Birol Ünel
27,Head-On,Sibel Kekilli
27,Head-On,Güven Kiraç
27,Head-On,Zarah Jane McKenzie
27,Head-On,Stefan Gebelhoff
27,Head-On,Catrin Striebeck
27,Head-On,Francesco Fiannaca
27,Head-On,Mona Mur
27,Head-On,Ralph Misske
27,Head-On,Philipp Baltus
27,Head-On,Hermann Lause
27,Head-On,Karin Niwiger
27,Head-On,Demir Gökgöl
27,Head-On,Cem Akin
27,Head-On,Aysel Iscan
27,Head-On,Orhan Güner
27,Head-On,Herr Tekin
27,Head-On,Meltem Cumbul
28,"I, Frankenstein",Aaron Eckhart
28,"I, Frankenstein",Bill Nighy
28,"I, Frankenstein",Miranda Otto
28,"I, Frankenstein",Virginie Le Brun
28,"I, Frankenstein",Yvonne Strahovski
28,"I, Frankenstein",Jai Courtney
28,"I, Frankenstein",Socratis Otto
28,"I, Frankenstein",Aden Young
28,"I, Frankenstein",Caitlin Stasey
28,"I, Frankenstein",Mahesh Jadu
28,"I, Frankenstein",Steve Mouzakis
28,"I, Frankenstein",Nicholas Bell
28,"I, Frankenstein",Deniz Akdeniz
28,"I, Frankenstein",Chris Pang
28,"I, Frankenstein",Kevin Grevioux
28,"I, Frankenstein",Bruce Spence
28,"I, Frankenstein",Penny Higgs
28,"I, Frankenstein",Goran D. Kleut
29,The Birds,Rod Taylor
29,The Birds,Tippi Hedren
29,The Birds,Jessica Tandy
29,The Birds,Suzanne Pleshette
29,The Birds,Veronica Cartwright
29,The Birds,Ethel Griffies
29,The Birds,Charles McGraw
29,The Birds,Ruth McDevitt
29,The Birds,Lonny Chapman
29,The Birds,Joe Mantell
29,The Birds,Doodles Weaver
29,The Birds,Malcolm Atterbury
29,The Birds,John McGovern
29,The Birds,Karl Swenson
29,The Birds,Richard Deacon
29,The Birds,Elizabeth Wilson
29,The Birds,Bill Quinn
29,The Birds,Doreen Lang
30,Practical Magic,Sandra Bullock
30,Practical Magic,Nicole Kidman
30,Practical Magic,Stockard Channing
30,Practical Magic,Dianne Wiest
30,Practical Magic,Goran Visnjic
30,Practical Magic,Aidan Quinn
30,Practical Magic,Evan Rachel Wood
30,Practical Magic,Alexandra Artrip
30,Practical Magic,Mark Feuerstein
30,Practical Magic,Caprice Benedetti
30,Practical Magic,Annabella Price
30,Practical Magic,Camilla Belle
30,Practical Magic,Lora Anne Criswell
30,Practical Magic,Margo Martindale
30,Practical Magic,Chloe Webb
30,Practical Magic,Martha Gehman
30,Practical Magic,Lucinda Jenney
30,Practical Magic,Cordelia Richards
31,The Last Castle,Robert Redford
31,The Last Castle,James Gandolfini
31,The Last Castle,Mark Ruffalo
31,The Last Castle,Steve Burton
31,The Last Castle,Delroy Lindo
31,The Last Castle,Paul Calderon
31,The Last Castle,Sam Ball
31,The Last Castle,Jeremy Childs
31,The Last Castle,Clifton Collins Jr.
31,The Last Castle,George W. Scott
31,The Last Castle,Brian Goodman
31,The Last Castle,Michael Irby
31,The Last Castle,Frank Military
31,The Last Castle,Maurice Bullard
31,The Last Castle,Nick Kokich
31,The Last Castle,David Alford
31,The Last Castle,Dean Hall
31,The Last Castle,Peg Allen
32,Sinister 2,James Ransone
32,Sinister 2,Shannyn Sossamon
32,Sinister 2,Robert Daniel Sloan
32,Sinister 2,Dartanian Sloan
32,Sinister 2,Lea Coco
32,Sinister 2,Tate Ellington
32,Sinister 2,John Beasley
32,Sinister 2,Lucas Jade Zumann
32,Sinister 2,Jaden Klein
32,Sinister 2,Laila Haley
32,Sinister 2,Caden Marshall Fritz
32,Sinister 2,Olivia Rainey
32,Sinister 2,Nicholas King
32,Sinister 2,Michael B. Woods
32,Sinister 2,Tory O. Davis
32,Sinister 2,Howie Johnson
32,Sinister 2,Grace Holuby
32,Sinister 2,John Francis Mountain
33,Gold,Matthew McConaughey
33,Gold,Edgar Ramírez
33,Gold,Bryce Dallas Howard
33,Gold,Corey Stoll
33,Gold,Toby Kebbell
33,Gold,Bill Camp
33,Gold,Joshua Harto
33,Gold,Timothy Simons
33,Gold,Craig T. Nelson
33,Gold,Macon Blair
33,Gold,Adam LeFevre
33,Gold,Frank Wood
33,Gold,Michael Landes
33,Gold,Bhavesh Patel
33,Gold,Rachael Taylor
33,Gold,Stacy Keach
33,Gold,Bruce Greenwood
33,Gold,Vic Browder
34,Cube²: Hypercube,Kari Matchett
34,Cube²: Hypercube,Geraint Wyn Davies
34,Cube²: Hypercube,Grace Lynn Kung
34,Cube²: Hypercube,Matthew Ferguson
34,Cube²: Hypercube,Neil Crone
34,Cube²: Hypercube,Barbara Gordon
34,Cube²: Hypercube,Lindsey Connell
34,Cube²: Hypercube,Greer Kent
34,Cube²: Hypercube,Bruce Gray
34,Cube²: Hypercube,Philip Akin
34,Cube²: Hypercube,Paul Robbins
34,Cube²: Hypercube,"Andrew Scorer"""
35,After,Josephine Langford
35,After,Hero Fiennes Tiffin
35,After,Khadijha Red Thunder
35,After,Dylan Arnold
35,After,Shane Paul McGhie
35,After,Samuel Larsen
35,After,Inanna Sarkis
35,After,Selma Blair
35,After,Pia Mia
35,After,Swen Temmel
35,After,Meadow Williams
35,After,Peter Gallagher
35,After,Jennifer Beals
35,After,Michael Hull
35,After,Sarah Jorge León
35,After,Chris Kontopidis
35,After,Rebecca Lee
35,After,Shannon Mayers
36,Wreck-It Ralph,John C. Reilly
36,Wreck-It Ralph,Jack McBrayer
36,Wreck-It Ralph,Jane Lynch
36,Wreck-It Ralph,Sarah Silverman
36,Wreck-It Ralph,Alan Tudyk
36,Wreck-It Ralph,Mindy Kaling
36,Wreck-It Ralph,Joe Lo Truglio
36,Wreck-It Ralph,Ed O'Neill
36,Wreck-It Ralph,Dennis Haysbert
36,Wreck-It Ralph,Edie McClurg
36,Wreck-It Ralph,Raymond S. Persi
36,Wreck-It Ralph,Jess Harnell
36,Wreck-It Ralph,Rachael Harris
36,Wreck-It Ralph,Skylar Astin
36,Wreck-It Ralph,Adam Carolla
36,Wreck-It Ralph,Horatio Sanz
36,Wreck-It Ralph,Maurice LaMarche
36,Wreck-It Ralph,Stefanie Scott
37,The Great Dictator,Charles Chaplin
37,The Great Dictator,Paulette Goddard
37,The Great Dictator,Jack Oakie
37,The Great Dictator,Reginald Gardiner
37,The Great Dictator,Henry Daniell
37,The Great Dictator,Billy Gilbert
37,The Great Dictator,Grace Hayle
37,The Great Dictator,Carter DeHaven
37,The Great Dictator,Maurice Moscovitch
37,The Great Dictator,Emma Dunn
37,The Great Dictator,Bernard Gorcey
37,The Great Dictator,Paul Weigel
37,The Great Dictator,Chester Conklin
37,The Great Dictator,Esther Michelson
37,The Great Dictator,Hank Mann
37,The Great Dictator,Florence Wright
37,The Great Dictator,Eddie Gribbon
37,The Great Dictator,Rudolph Anders
38,Amores perros,Emilio Echevarría
38,Amores perros,Gael García Bernal
38,Amores perros,Goya Toledo
38,Amores perros,Álvaro Guerrero
38,Amores perros,Vanessa Bauche
38,Amores perros,Jorge Salinas
38,Amores perros,Marco Pérez
38,Amores perros,Rodrigo Murray
38,Amores perros,Humberto Busto
38,Amores perros,Gerardo Campbell
38,Amores perros,Rosa María Bianchi
38,Amores perros,Dunia Saldívar
38,Amores perros,Adriana Barraza
38,Amores perros,José Sefami
38,Amores perros,Lourdes Echevarría
38,Amores perros,Laura Almela
38,Amores perros,Ricardo Dalmacci
38,Amores perros,Gustavo Sánchez Parra
39,Frankenweenie,Winona Ryder
39,Frankenweenie,Catherine O'Hara
39,Frankenweenie,Martin Short
39,Frankenweenie,Martin Landau
39,Frankenweenie,Charlie Tahan
39,Frankenweenie,Atticus Shaffer
39,Frankenweenie,Robert Capron
39,Frankenweenie,James Hiroyuki Liao
39,Frankenweenie,Conchata Ferrell
39,Frankenweenie,Tom Kenny
39,Frankenweenie,Dee Bradley Baker
39,Frankenweenie,Jeff Bennett
39,Frankenweenie,Jon Donahue
39,Frankenweenie,Christopher Lee
39,Frankenweenie,Gary Martin
39,Frankenweenie,Melissa Stribling
39,Frankenweenie,"Frank Welker"""
40,Robin Hood,Taron Egerton
40,Robin Hood,Jamie Foxx
40,Robin Hood,Ben Mendelsohn
40,Robin Hood,Eve Hewson
40,Robin Hood,Jamie Dornan
40,Robin Hood,Tim Minchin
40,Robin Hood,Paul Anderson
40,Robin Hood,F. Murray Abraham
40,Robin Hood,Ian Peck
40,Robin Hood,Cornelius Booth
40,Robin Hood,Kane Headley-Cummings
40,Robin Hood,Scot Greenan
40,Robin Hood,Lara Rossi
40,Robin Hood,Kevin Griffiths
40,Robin Hood,Catriona Temple
40,Robin Hood,Björn Bengtsson
40,Robin Hood,Nick Wittman
40,Robin Hood,Yasen Atour
41,Shadow of a Doubt,Teresa Wright
41,Shadow of a Doubt,Joseph Cotten
41,Shadow of a Doubt,Macdonald Carey
41,Shadow of a Doubt,Henry Travers
41,Shadow of a Doubt,Patricia Collinge
41,Shadow of a Doubt,Hume Cronyn
41,Shadow of a Doubt,Wallace Ford
41,Shadow of a Doubt,Edna May Wonacott
41,Shadow of a Doubt,Charles Bates
41,Shadow of a Doubt,Irving Bacon
