year,awards_name,winner,winner_details
1995,Best Picture,Forrest Gump,"Wendy Finerman, Steve Starkey, Steve Tisch"
1996,Best International Film,Antonia's Line,
1996,Best Picture,Braveheart,"Mel Gibson, Alan Ladd Jr., Bruce Davey"
1997,Best International Film,Kolya,
1997,Best Picture,The English Patient,Saul Zaentz
1998,Best International Film,Character,
1998,Best Picture,Titanic,"James Cameron, Jon Landau"
1999,Best International Film,Life Is Beautiful,
1999,Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, Marc Norman"
2000,Best International Film,All About My Mother,
2000,Best Picture,American Beauty,"Bruce Cohen, Dan Jinks"
2001,Best International Film,"Crouching Tiger, Hidden Dragon",
2001,Best Picture,Gladiator,"Douglas Wick, David Franzoni, Branko Lustig"
2002,Best Animation,Shrek,Aron Warner
2002,Best International Film,No Man's Land,
2002,Best Picture,A Beautiful Mind,"Brian Grazer, Ron Howard"
2003,Best Animation,Spirited Away,Hayao Miyazaki
2003,Best International Film,Nowhere in Africa,
2003,Best Picture,Chicago,Martin Richards
2004,Best Animation,Finding Nemo,Andrew Stanton
2004,Best International Film,The Barbarian Invasions,
2004,Best Picture,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, Fran Walsh"
2005,Best Animation ,The Incredibles,Brad Bird
2005,Best International Film ,The Sea Inside,
2005,Best Picture ,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy, Tom Rosenberg"
2006,Best Animation ,Wallace & Gromit: The Curse of the Were-Rabbit,"Steve Box, Nick Park"
2006,Best International Film ,Tsotsi,
2006,Best Picture ,Crash,"Paul Haggis, Cathy Schulman"
2007,Best Animation ,Happy Feet,George Miller
2007,Best International Film ,The Lives of Others,
2007,Best Picture ,The Departed,Graham King
2008,Best Animation ,Ratatouille,Brad Bird
2008,Best International Film ,The Counterfeiters,
2008,Best Picture ,No Country for Old Men,"Scott Rudin, Ethan Coen, Joel Coen"
2009,Best Animation ,WALL·E,Andrew Stanton
2009,Best International Film ,Departures,
2009,Best Picture ,Slumdog Millionaire,Christian Colson
2010,Best Animation ,Up,Pete Docter
2010,Best International Film ,The Secret in Their Eyes,
2010,Best Picture ,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro"
2011,Best Animation ,Toy Story 3,Lee Unkrich
2011,Best International Film ,In a Better World,Susanne Bier
2011,Best Picture ,The King's Speech,"Iain Canning, Emile Sherman, Gareth Unwin"
2012,Best Animation ,Rango,Gore Verbinski
2012,Best International Film ,A Separation,
2012,Best Picture ,The Artist,Thomas Langmann
2013,Best Animation,Brave,"Mark Andrews, Brenda Chapman"
2013,Best International Film ,Amour,
2013,Best Picture ,Argo,"Grant Heslov, Ben Affleck, George Clooney"
2014,Best Animation ,Frozen,"Chris Buck, Jennifer Lee, Peter Del Vecho"
2014,Best International Film ,The Great Beauty,
2014,Best Picture ,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, Anthony Katagas"
2015,Best Animation ,Big Hero 6,"Don Hall, Chris Williams, Roy Conli"
2015,Best International Film ,Ida,
2015,Best Picture ,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole"
2016,Best Animation ,Inside Out,"Pete Docter, Jonas Rivera"
2016,Best International Film ,Son of Saul,
2016,Best Picture ,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin, Blye Pagon Faust"
2017,Best Animation ,Zootopia,"Byron Howard, Rich Moore, Clark Spencer"
2017,Best International Film ,The Salesman,
2017,Best Picture ,Moonlight,"Dede Gardner, Jeremy Kleiner, Adele Romanski"
2018,Best Animation,Coco,"Lee Unkrich, Darla K. Anderson"
2018,Best International Film ,A Fantastic Woman,
2018,Best Picture ,The Shape of Water,"Guillermo del Toro, J. Miles Dale"
2019,Best Animation,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord, Christopher Miller"
2019,Best International Film ,Roma,
2019,Best Picture ,Green Book,"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga"
2020,Best Animation,Toy Story 4,"Josh Cooley, Mark Nielsen, Jonas Rivera"
2020,Best International Film,Parasite,
2020,Best Picture ,Parasite,"Kwak Sin-ae, Bong Joon Ho"
2021,Best Animation,Soul,"Pete Docter, Dana Murray"
2021,Best International Film,Another Round,
2021,Best Picture ,Nomadland,"Frances McDormand (producer), Peter Spears (producer), Mollye Asher (producer), Dan Janvey (producer), Chloé Zhao (producer)"
2022,Best Animation,Encanto,"Jared Bush, Byron Howard, Yvett Merino, Clark Spencer"
2022,Best International Film,Drive My Car,
2022,Best Picture ,CODA,"Philippe Rousselet (producer), Fabrice Gianfermi (producer), Patrick Wachsberger (producer)"
