title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Noble,Drama,08-05-15,08,05,2015,100,Fresh,82,34,Upright,72,1549,10,28,6
Nobody Else But You,"Comedy, Mystery & Suspense",11-05-12,11,05,2012,103,Fresh,83,30,Upright,67,564,12,25,5
Nobody Walks,Drama,19-10-12,19,10,2012,83,Rotten,41,41,Spilled,23,3034,22,17,24
Nobody's Fool,Comedy,02-11-18,02,11,2018,110,Rotten,24,42,Spilled,35,672,12,10,32
Nocturnal Animals,"Drama, Mystery & Suspense",09-12-16,09,12,2016,116,Certified-Fresh,74,296,Upright,73,30150,44,219,77
Noel,Drama,01-01-04,01,01,2004,96,Rotten,28,36,Spilled,48,6550,13,10,26
Noëlle,"Comedy, Drama",07-12-07,07,12,2007,101,Rotten,57,7,Spilled,55,521,3,4,3
Noi the Albino (Nói albínói),"Art House & International, Comedy, Drama",19-03-03,19,03,2003,90,Certified-Fresh,87,52,Upright,85,6308,16,45,7
Noise,"Art House & International, Documentary, Drama, Mystery & Suspense, Special Interest",12-02-07,12,02,2007,106,Fresh,83,6,Upright,71,1230,1,5,1
Noises Off,"Comedy, Romance",20-03-92,20,03,1992,104,Fresh,61,23,Upright,84,7450,1,14,9
Nola,"Comedy, Drama, Romance",29-08-03,29,08,2003,97,Rotten,0,13,Spilled,44,913,8,0,13
Noma: My Perfect Storm,Documentary,18-12-15,18,12,2015,95,Rotten,57,21,Spilled,42,291,6,12,9
Nomad,"Classics, Drama",16-03-07,16,03,2007,,Rotten,6,16,Spilled,40,6719,8,1,15
Nomads,"Drama, Horror, Mystery & Suspense",07-03-86,07,03,1986,95,Rotten,30,10,Spilled,37,1697,1,3,7
The Nomi Song,"Documentary, Musical & Performing Arts, Special Interest",04-02-05,04,02,2005,99,Fresh,94,35,Upright,86,1007,15,33,2
"Non Ma Fille, Tu N'iras Pas Danser (Making Plans for Lena)","Art House & International, Comedy, Drama",20-08-10,20,08,2010,105,Rotten,50,8,Spilled,44,339,5,4,4
The Living Dead at Manchester Morgue,"Art House & International, Horror, Science Fiction & Fantasy",28-11-74,28,11,1974,93,Fresh,86,21,Upright,71,3435,1,18,3
Non-Stop,"Action & Adventure, Mystery & Suspense",28-02-14,28,02,2014,107,Fresh,62,225,Upright,63,78528,49,139,86
Norbit,"Comedy, Drama, Romance",09-02-07,09,02,2007,102,Rotten,9,124,Spilled,53,660443,36,11,113
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",Comedy,,00,01,1900,60,Fresh,100,6,,,,3,6,0
Norm of the North,"Action & Adventure, Animation, Comedy",15-01-16,15,01,2016,90,Rotten,9,69,Spilled,22,7846,19,6,63
Normal Life,"Drama, Mystery & Suspense",30-08-96,30,08,1996,101,Fresh,70,10,Spilled,48,959,2,7,3
Norman,"Comedy, Drama",21-10-11,21,10,2011,97,Fresh,67,15,Spilled,58,750,10,10,5
Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer),Drama,14-04-17,14,04,2017,118,Certified-Fresh,88,125,Spilled,57,3836,32,110,15
Norman Lear: Just Another Version of You,Documentary,08-07-16,08,07,2016,91,Certified-Fresh,86,43,Upright,67,492,15,37,6
"Norte, the End of History",Drama,20-06-14,20,06,2014,250,Certified-Fresh,93,40,Upright,79,1016,13,37,3
North,"Comedy, Drama, Kids & Family, Science Fiction & Fantasy",22-07-94,22,07,1994,88,Rotten,14,35,Spilled,27,13576,13,5,30
North by Northwest,"Classics, Mystery & Suspense",17-09-59,17,09,1959,136,Certified-Fresh,99,78,Upright,94,79771,18,77,1
The North Avenue Irregulars,"Comedy, Drama, Kids & Family",09-02-79,09,02,1979,99,Fresh,78,9,Upright,79,1079,0,7,2
North Country,Drama,21-10-05,21,10,2005,126,Fresh,69,175,Upright,76,93141,42,121,54
North Dallas Forty,"Comedy, Drama, Sports & Fitness",03-08-79,03,08,1979,120,Fresh,84,25,Upright,70,2523,6,21,4
North Face (Nordwand),"Action & Adventure, Drama",29-01-10,29,01,2010,126,Certified-Fresh,84,58,Upright,82,3565,23,49,9
"Noordzee, Texas (North Sea Texas)",Drama,02-11-12,02,11,2012,94,Fresh,83,29,Upright,71,1701,12,24,5
North to Alaska,"Action & Adventure, Classics, Comedy, Western, Romance",07-11-60,07,11,1960,122,Rotten,50,8,Upright,76,7566,0,4,4
Northern Borders,Drama,16-01-15,16,01,2015,108,Rotten,40,5,Spilled,50,21,4,2,3
Northern Light,"Documentary, Special Interest",16-06-14,16,06,2014,105,Fresh,83,6,Upright,60,172,3,5,1
Northern Soul,"Drama, Musical & Performing Arts",02-10-15,02,10,2015,102,Fresh,76,38,Spilled,57,1237,14,29,9
Northfork,"Drama, Science Fiction & Fantasy",11-07-03,11,07,2003,103,Rotten,56,103,Upright,66,4734,34,58,45
Northwest Passage,"Action & Adventure, Classics, Drama, Western",23-02-40,23,02,1940,126,Fresh,100,6,Upright,69,575,0,6,0
Norwegian Wood,"Art House & International, Drama",06-01-12,06,01,2012,133,Certified-Fresh,74,66,Spilled,49,6387,27,49,17
Nos enfants nous accuseront (Food Beware: The French Organic Revolution),"Art House & International, Documentary, Special Interest",15-10-08,15,10,2008,112,Rotten,57,14,Upright,62,163,7,8,6
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)","Art House & International, Classics, Horror, Science Fiction & Fantasy",04-03-22,04,03,1922,65,Certified-Fresh,97,66,Upright,87,48011,14,64,2
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),"Art House & International, Horror",17-01-79,17,01,1979,107,Certified-Fresh,95,59,Upright,83,21309,14,56,3
Nostalgia (Nostalghia),"Art House & International, Drama",08-01-84,08,01,1984,130,Fresh,86,22,Upright,90,6098,4,19,3
Nostalgia,Drama,16-02-18,16,02,2018,114,Rotten,39,56,Spilled,46,104,20,22,34
Nostalgia for the Light,"Art House & International, Documentary, Drama",18-03-11,18,03,2011,90,Certified-Fresh,100,47,Upright,84,3545,17,47,0
Not Another Happy Ending,Comedy,30-06-13,30,06,2013,102,Rotten,31,16,Spilled,36,392,4,5,11
Not Another Teen Movie,Comedy,14-12-01,14,12,2001,88,Rotten,29,99,Spilled,55,442648,23,29,70
Not as a Stranger (Morton Thompson's Not as a Stranger),"Classics, Drama",28-06-55,28,06,1955,135,Rotten,11,9,Spilled,54,256,3,1,8
Not Cool,Comedy,19-09-14,19,09,2014,93,Rotten,14,7,Upright,72,2165,3,1,6
Not Easily Broken,"Drama, Horror",09-01-09,09,01,2009,99,Rotten,31,68,Upright,67,69412,21,21,47
Not Fade Away,Drama,21-12-12,21,12,2012,112,Fresh,70,90,Spilled,42,4057,33,63,27
Not One Less,"Comedy, Drama",18-02-00,18,02,2000,106,Certified-Fresh,96,45,Upright,90,5848,11,43,2
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","Art House & International, Documentary, Television",28-07-08,28,07,2008,103,Certified-Fresh,95,66,Upright,80,2384,20,63,3
Not Suitable for Children,"Art House & International, Comedy, Drama, Romance",,00,01,1900,97,Fresh,88,17,Spilled,53,2507,0,15,2
Not Today,Drama,12-04-13,12,04,2013,118,Rotten,50,6,Upright,84,634,2,3,3
Not Wanted,"Classics, Drama",23-07-49,23,07,1949,91,Fresh,80,5,Spilled,42,260,1,4,1
Not Without My Daughter,"Art House & International, Drama, Mystery & Suspense, Special Interest",11-01-91,11,01,1991,110,Rotten,50,16,Upright,71,16111,3,8,8
Not Yet Begun to Fight,"Documentary, Special Interest",25-10-13,25,10,2013,,Fresh,88,8,,,,6,7,1
Note by Note: The Making of Steinway L1037,"Documentary, Musical & Performing Arts, Special Interest",07-11-07,07,11,2007,81,Fresh,90,21,Upright,88,454,12,19,2
The Notebook,"Drama, Romance",25-06-04,25,06,2004,124,Rotten,53,178,Upright,85,31656590,44,94,84
Notes From The Field,Drama,,00,01,1900,,Fresh,100,6,Upright,67,39,2,6,0
Notes on a Scandal,Drama,25-12-06,25,12,2006,98,Certified-Fresh,87,174,Upright,83,77782,46,152,22
Notes on Blindness,"Documentary, Special Interest",16-11-16,16,11,2016,90,Certified-Fresh,95,40,Upright,70,2482,12,38,2
Nothing Bad Can Happen,"Drama, Mystery & Suspense",27-06-14,27,06,2014,110,Fresh,71,28,Upright,64,410,8,20,8
Nothing But the Blood,"Drama, Horror, Mystery & Suspense",,00,01,1900,89,Rotten,0,5,,,,0,0,5
Nothing But the Truth,"Drama, Mystery & Suspense",08-09-08,08,09,2008,107,Certified-Fresh,82,60,Upright,73,12776,20,49,11
Nothing but Trouble,Comedy,,00,01,1900,94,Rotten,5,22,Spilled,47,18771,7,1,21
Nothing in Common,"Comedy, Drama",30-07-86,30,07,1986,118,Rotten,57,23,Spilled,40,6077,5,13,10
Nothing Left to Fear,Horror,04-10-13,04,10,2013,100,Rotten,9,11,Spilled,16,694,5,1,10
Nothing Like the Holidays,"Comedy, Drama",08-11-08,08,11,2008,98,Rotten,54,99,Spilled,42,32335,31,53,46
The Notorious Bettie Page,Drama,14-04-06,14,04,2006,90,Rotten,57,134,Spilled,51,50094,47,76,58
La Notte,"Art House & International, Drama",01-01-61,01,01,1961,122,Fresh,84,25,Upright,91,5514,5,21,4
Notting Hill,"Comedy, Romance",28-05-99,28,05,1999,123,Certified-Fresh,83,100,Upright,79,508458,30,83,17
Nous ne vieillirons pas ensemble (We Won't Grow Old Together),Drama,07-09-72,07,09,1972,103,Fresh,100,8,Upright,73,141,3,8,0
November Criminals,"Drama, Mystery & Suspense",08-12-17,08,12,2017,85,Rotten,0,11,Spilled,23,786,5,0,11
Novitiate,Drama,27-10-17,27,10,2017,123,Certified-Fresh,86,101,Upright,69,1860,33,87,14
Novocaine,"Comedy, Drama",16-11-01,16,11,2001,94,Rotten,38,107,Spilled,38,7450,31,41,66
Now & Later,Drama,18-02-11,18,02,2011,100,Rotten,25,12,Spilled,44,163,5,3,9
Now and Then,"Comedy, Drama",20-10-95,20,10,1995,96,Rotten,32,19,Upright,82,76152,5,6,13
Now Is Good,"Art House & International, Drama",,00,01,1900,103,Rotten,56,27,Upright,64,2796,5,15,12
"Now, Voyager","Classics, Drama, Romance",22-10-42,22,10,1942,117,Fresh,93,28,Upright,90,7461,0,26,2
"Now You See Him, Now You Don't","Comedy, Kids & Family, Science Fiction & Fantasy",07-07-72,07,07,1972,88,Fresh,80,5,Spilled,57,1690,2,4,1
Now You See Me,Mystery & Suspense,31-05-13,31,05,2013,116,Rotten,51,168,Upright,70,179318,35,85,83
Now You See Me 2,Mystery & Suspense,10-06-16,10,06,2016,129,Rotten,33,193,Spilled,53,67094,40,64,129
Nowhere Boy,Drama,08-10-10,08,10,2010,97,Certified-Fresh,80,147,Upright,74,41244,40,117,30
Nowhere to Hide,"Action & Adventure, Comedy, Drama",20-01-00,20,01,2000,112,Rotten,47,19,Spilled,55,1641,6,9,10
Nuclear Nation,"Documentary, Special Interest",11-12-13,11,12,2013,145,Fresh,90,10,Upright,75,148,7,9,1
Number Seventeen (Number 17),"Classics, Comedy, Drama, Mystery & Suspense",01-01-32,01,01,1932,65,Fresh,63,8,Spilled,22,1638,2,5,3
Number 37 (Nommer 37),"Drama, Mystery & Suspense",02-11-18,02,11,2018,100,Fresh,93,15,Upright,72,165,4,14,1
Nurse,Horror,07-02-14,07,02,2014,84,Fresh,61,23,Spilled,28,1789,4,14,9
Nurse Betty,"Comedy, Drama",08-09-00,08,09,2000,108,Certified-Fresh,83,131,Spilled,45,35288,38,109,22
Nursery University,"Documentary, Special Interest",24-04-09,24,04,2009,90,Fresh,82,11,Upright,61,418,7,9,2
Nuts,Drama,20-11-87,20,11,1987,116,Rotten,33,24,Upright,72,4197,6,8,16
Nutty Professor II: The Klumps,"Comedy, Kids & Family",28-07-00,28,07,2000,106,Rotten,26,88,Spilled,33,231632,24,23,65
Ny Export: Opus Jazz,"Documentary, Drama, Musical & Performing Arts, Special Interest",05-11-10,05,11,2010,61,Fresh,80,5,,,,2,4,1
O,Drama,31-08-01,31,08,2001,95,Fresh,64,125,Spilled,58,36087,34,80,45
"O Brother, Where Art Thou?","Comedy, Drama",22-12-00,22,12,2000,106,Certified-Fresh,77,151,Upright,89,256662,38,117,34
O Lucky Man!,"Classics, Comedy, Drama, Science Fiction & Fantasy",,00,01,1900,173,Fresh,78,18,Upright,87,4284,3,14,4
O Som ao Redor (Neighbouring Sounds),"Art House & International, Drama",24-08-12,24,08,2012,131,Fresh,92,39,Upright,76,964,17,36,3
Oasis,"Art House & International, Documentary, Drama, Special Interest",11-01-03,11,01,2003,132,Fresh,90,30,Upright,84,711,12,27,3
Oasis: Supersonic,Documentary,26-10-16,26,10,2016,117,Certified-Fresh,84,55,Upright,87,2243,17,46,9
The Object of Beauty,"Art House & International, Comedy, Drama",12-04-91,12,04,1991,97,Fresh,77,13,Spilled,38,1563,3,10,3
The Object of My Affection,"Comedy, Drama",17-04-98,17,04,1998,112,Rotten,52,58,Spilled,51,41043,18,30,28
Objectified,"Documentary, Musical & Performing Arts, Special Interest",14-03-09,14,03,2009,75,Fresh,81,16,Upright,76,1340,11,13,3
Oblivion,"Action & Adventure, Science Fiction & Fantasy",19-04-13,19,04,2013,125,Rotten,53,255,Upright,61,163366,49,135,120
Obscene,"Documentary, Special Interest",05-09-08,05,09,2008,97,Fresh,92,25,Upright,79,366,11,23,2
Observe and Report,Comedy,10-04-09,10,04,2009,86,Rotten,51,213,Spilled,37,641761,51,109,104
Obvious Child,"Comedy, Romance",06-06-14,06,06,2014,83,Certified-Fresh,90,165,Upright,72,16202,49,149,16
Occupation,Science Fiction & Fantasy,20-07-18,20,07,2018,120,Rotten,50,20,Upright,88,1831,5,10,10
Ocean Waves (Umi ga kikoeru),"Animation, Art House & International, Drama, Television, Romance",28-12-16,28,12,2016,72,Fresh,88,17,Upright,66,1913,4,15,2
Ocean's 11,"Classics, Comedy, Drama",10-08-60,10,08,1960,127,Rotten,48,31,Upright,81,147205,8,15,16
Ocean's 8,"Action & Adventure, Comedy",08-06-18,08,06,2018,110,Fresh,69,357,Spilled,45,10315,57,246,111
Ocean's Eleven,"Action & Adventure, Comedy, Drama",07-12-01,07,12,2001,116,Certified-Fresh,82,177,Upright,80,32601771,37,146,31
Ocean's Thirteen,"Action & Adventure, Comedy, Drama, Mystery & Suspense",08-06-07,08,06,2007,122,Fresh,70,199,Upright,75,1532643,54,139,60
Ocean's Twelve,"Action & Adventure, Comedy, Drama",10-12-04,10,12,2004,125,Rotten,55,185,Upright,60,672964,42,101,84
The Octagon,Action & Adventure,14-08-80,14,08,1980,103,Rotten,33,6,Spilled,31,5366,0,2,4
October Baby,Drama,23-03-12,23,03,2012,106,Rotten,25,40,Upright,79,32462,14,10,30
October Country,"Documentary, Special Interest",19-10-09,19,10,2009,80,Fresh,88,32,Upright,67,160,16,28,4
October Gale,"Drama, Romance",06-03-15,06,03,2015,91,Rotten,19,27,Spilled,20,243,13,5,22
October Sky,Drama,19-02-99,19,02,1999,108,Certified-Fresh,91,74,Upright,88,66142,16,67,7
Octopussy,"Action & Adventure, Drama, Mystery & Suspense",10-06-83,10,06,1983,130,Rotten,43,49,Spilled,47,61236,9,21,28
Oculus,"Drama, Horror",11-04-14,11,04,2014,105,Certified-Fresh,74,154,Spilled,53,45809,35,114,40
Odd Brodsky,Comedy,,00,01,1900,93,Fresh,100,6,Upright,83,44,0,6,0
The Odd Couple II,Comedy,10-04-98,10,04,1998,107,Rotten,27,30,Spilled,56,7628,9,8,22
Odd Thomas,Mystery & Suspense,28-02-14,28,02,2014,96,Rotten,38,47,Upright,65,10558,13,18,29
Oddball and the Penguins (Oddball),"Action & Adventure, Art House & International, Kids & Family",,00,01,1900,96,Fresh,87,23,Upright,62,703,6,20,3
Ode to Billy Joe,"Drama, Gay & Lesbian",04-06-76,04,06,1976,106,Rotten,20,5,Upright,80,912,1,1,4
Ode to Joy,Comedy,09-08-19,09,08,2019,98,Rotten,45,29,Upright,69,51,6,13,16
Of Gods and Men,"Art House & International, Drama",25-02-11,25,02,2011,122,Certified-Fresh,93,120,Upright,75,14946,34,111,9
Of Love and Shadows,"Art House & International, Drama, Romance",10-05-96,10,05,1996,109,Rotten,20,5,Spilled,33,1018,0,1,4
Of Men And War,"Documentary, Special Interest",,00,01,1900,142,Fresh,100,14,Spilled,50,190,6,14,0
Of Unknown Origin,"Art House & International, Horror",23-11-83,23,11,1983,88,Rotten,57,7,Spilled,41,1267,0,4,3
Off the Map,Drama,22-01-03,22,01,2003,112,Fresh,70,94,Upright,84,3358,27,66,28
Off and Running,Documentary,29-01-10,29,01,2010,76,Fresh,88,16,Upright,73,155,5,14,2
The Offence,"Drama, Mystery & Suspense",11-05-73,11,05,1973,112,Fresh,71,14,Upright,72,1420,5,10,4
Office Christmas Party,Comedy,09-12-16,09,12,2016,105,Rotten,41,185,Spilled,40,21857,36,75,110
Office Space,"Comedy, Special Interest, Romance",19-02-99,19,02,1999,89,Certified-Fresh,80,101,Upright,93,325813,27,81,20
An Officer and a Gentleman,"Action & Adventure, Drama, Romance",01-01-82,01,01,1982,125,Fresh,79,28,Upright,81,51109,6,22,6
Officer Downe,Action & Adventure,18-11-16,18,11,2016,91,Rotten,33,12,Spilled,30,173,2,4,8
Official Secrets,Drama,30-08-19,30,08,2019,112,Certified-Fresh,82,163,,89,361,35,134,29
La Historia Oficial (The Official Story),"Art House & International, Drama",03-04-85,03,04,1985,110,Fresh,100,11,Upright,89,2653,2,11,0
Offside,"Art House & International, Comedy, Drama",17-02-06,17,02,2006,92,Certified-Fresh,94,84,Upright,74,5843,29,79,5
The Garden of Earthly Delights,"Drama, Romance",22-06-06,22,06,2006,103,Fresh,67,6,Upright,63,217,5,4,2
"Oh, God!","Comedy, Science Fiction & Fantasy",07-10-77,07,10,1977,97,Fresh,72,25,Upright,60,8258,4,18,7
"Oh, God! Book II","Comedy, Kids & Family",03-10-80,03,10,1980,94,Rotten,50,6,Spilled,38,3668,1,3,3
"Oh, God! You Devil",Comedy,09-11-84,09,11,1984,96,Rotten,36,11,Spilled,39,6436,3,4,7
"Oh, Hello On Broadway",Comedy,,00,01,1900,,Fresh,88,8,Upright,81,105,2,7,1
Oh! What A Lovely War,"Classics, Drama, Musical & Performing Arts",03-10-69,03,10,1969,144,Fresh,79,14,Upright,72,811,4,11,3
O' Horten,"Art House & International, Comedy, Drama",26-12-07,26,12,2007,89,Certified-Fresh,91,86,Upright,63,22111,36,78,8
OKA!,Drama,14-10-11,14,10,2011,106,Fresh,71,14,Spilled,43,139,9,10,4
Okami kodomo no ame to yuki (The Wolf Children Ame and Yuki),"Animation, Science Fiction & Fantasy",,00,01,1900,117,Fresh,95,19,Upright,92,2900,6,18,1
Okja,"Action & Adventure, Drama, Science Fiction & Fantasy",28-06-17,28,06,2017,118,Certified-Fresh,86,235,Upright,81,10553,45,203,32
Oklahoma!,"Classics, Musical & Performing Arts, Special Interest, Western, Romance",,00,01,1900,145,Fresh,88,26,Upright,76,31827,8,23,3
The General Line (Generalnaya liniya),"Art House & International, Drama",07-11-29,07,11,1929,80,Fresh,100,5,Upright,65,253,2,5,0
Old Fashioned,"Drama, Romance",13-02-15,13,02,2015,115,Rotten,18,22,Upright,84,2109,6,4,18
Old Goats,Comedy,24-01-14,24,01,2014,101,Fresh,62,13,Upright,61,401,6,8,5
Old Gringo,"Action & Adventure, Drama",06-10-89,06,10,1989,119,Rotten,42,12,Spilled,48,1051,1,5,7
Old Joy,Drama,25-08-06,25,08,2006,76,Certified-Fresh,85,93,Upright,71,5562,33,79,14
Old School,"Comedy, Special Interest",21-02-03,21,02,2003,90,Fresh,60,167,Upright,86,477244,37,100,67
Old Stone (Lao Shi),Drama,30-11-16,30,11,2016,80,Fresh,94,31,Upright,60,143,13,29,2
Old Yeller,"Action & Adventure, Classics, Drama, Kids & Family, Western",25-12-57,25,12,1957,83,Fresh,100,21,Upright,79,51308,3,21,0
Oldboy,"Drama, Mystery & Suspense",25-03-05,25,03,2005,118,Certified-Fresh,82,148,Upright,94,133444,40,121,27
Oldboy,"Action & Adventure, Drama, Mystery & Suspense",27-11-13,27,11,2013,103,Rotten,40,149,Spilled,37,26441,46,59,90
Oleanna,"Drama, Mystery & Suspense",04-11-94,04,11,1994,89,Rotten,53,17,Upright,61,1621,2,9,8
Oliver!,"Classics, Comedy, Drama, Kids & Family, Musical & Performing Arts",11-12-68,11,12,1968,146,Fresh,82,34,Upright,81,56092,8,28,6
Oliver & Company,"Animation, Kids & Family",18-11-88,18,11,1988,72,Rotten,50,50,Upright,62,79683,13,25,25
Oliver Twist,"Action & Adventure, Classics, Drama",30-07-51,30,07,1951,105,Fresh,100,24,Upright,84,8594,4,24,0
Oliver's Story,"Drama, Romance",15-12-78,15,12,1978,92,Rotten,29,7,Spilled,26,754,0,2,5
Olivia (The Pit of Loneliness),Drama,16-08-19,16,08,2019,96,Fresh,100,9,Upright,67,6,2,9,0
Olympic Dreams,"Comedy, Drama, Romance",14-02-20,14,02,2020,83,Fresh,70,47,Spilled,58,31,7,33,14
"Olympic Pride, American Prejudice",Documentary,05-08-16,05,08,2016,90,Fresh,100,8,Spilled,49,64,6,8,0
Olympus Has Fallen,"Action & Adventure, Drama",22-03-13,22,03,2013,120,Rotten,49,197,Upright,66,148655,40,97,100
Om Shanti Om,"Action & Adventure, Comedy, Drama",09-11-07,09,11,2007,168,Fresh,76,17,Upright,77,27197,4,13,4
Omar,Drama,21-02-14,21,02,2014,98,Certified-Fresh,90,87,Upright,84,5117,36,78,9
The Omega Man,"Classics, Science Fiction & Fantasy",01-08-71,01,08,1971,98,Fresh,65,34,Spilled,53,17232,5,22,12
The Omen,"Horror, Mystery & Suspense",06-06-06,06,06,2006,110,Rotten,26,168,Spilled,40,340365,41,44,124
Omen IV - The Awakening,Horror,20-05-91,20,05,1991,100,Rotten,17,6,Spilled,23,10107,0,1,5
On the Bowery,"Documentary, Drama, Special Interest",01-01-57,01,01,1957,65,Fresh,96,24,Upright,88,250,9,23,1
On a Clear Day You Can See Forever,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy",01-01-70,01,01,1970,129,Fresh,100,10,Upright,74,3604,1,10,0
On a Magical Night (Chambre 212),Comedy,27-03-20,27,03,2020,86,Fresh,65,31,Spilled,23,13,10,20,11
On Any Sunday,"Classics, Documentary, Sports & Fitness",28-07-71,28,07,1971,91,Fresh,83,6,Upright,85,359,3,5,1
"On Any Sunday, The Next Chapter","Documentary, Sports & Fitness",07-11-14,07,11,2014,94,Rotten,54,13,Upright,86,563,7,7,6
On Body and Soul (A Teströl és Lélekröl),"Art House & International, Drama, Romance",05-01-18,05,01,2018,116,,,,Upright,85,60,12,70,8
On Chesil Beach,"Drama, Romance",18-05-18,18,05,2018,110,Fresh,68,165,Upright,62,847,39,112,53
On Dangerous Ground,"Action & Adventure, Drama, Mystery & Suspense",01-01-52,01,01,1952,82,Fresh,94,18,Upright,78,1157,1,17,1
On Deadly Ground,"Action & Adventure, Mystery & Suspense",18-02-94,18,02,1994,101,Rotten,10,31,Spilled,34,32948,9,3,28
On Golden Pond,Drama,04-12-81,04,12,1981,109,Fresh,93,29,Upright,87,20566,8,27,2
On Guard,"Action & Adventure, Art House & International, Drama",01-01-97,01,01,1997,128,Fresh,88,32,Upright,78,1192,14,28,4
On Her Majesty's Secret Service,"Action & Adventure, Mystery & Suspense, Romance",18-12-69,18,12,1969,140,Certified-Fresh,81,54,Upright,64,51494,7,44,10
On_Line,Drama,24-09-03,24,09,2003,84,Rotten,38,40,Spilled,30,98,17,15,25
On Moonlight Bay,"Classics, Comedy, Musical & Performing Arts, Romance",26-07-51,26,07,1951,95,Fresh,100,5,Upright,81,682,0,5,0
On the Basis of Sex,Drama,11-01-19,11,01,2019,120,Fresh,73,254,Upright,76,2275,44,186,68
On the Beach at Night Alone (Bamui haebyun-eoseo honja),"Art House & International, Drama",17-11-17,17,11,2017,101,Certified-Fresh,92,50,Upright,69,325,11,46,4
On the Ice,"Drama, Mystery & Suspense",17-02-12,17,02,2012,96,Fresh,67,15,Upright,62,714,11,10,5
On The Job,"Action & Adventure, Mystery & Suspense",27-09-13,27,09,2013,121,Fresh,94,17,Upright,89,1702,7,16,1
On the One,"Comedy, Drama, Musical & Performing Arts",12-10-05,12,10,2005,105,Rotten,36,14,Upright,73,927,8,5,9
On the Outs,"Action & Adventure, Art House & International, Drama",13-07-05,13,07,2005,86,Fresh,94,31,Upright,84,1197,12,29,2
On the Road,"Action & Adventure, Drama",21-12-12,21,12,2012,139,Rotten,44,153,Spilled,34,10927,46,68,85
On the Road With Judas,"Comedy, Drama",,00,01,1900,92,Fresh,60,5,Upright,64,391,2,3,2
On the Ropes,"Documentary, Sports & Fitness",18-08-99,18,08,1999,94,Fresh,93,14,Upright,75,563,4,13,1
On the Waterfront,"Classics, Drama, Romance",28-07-54,28,07,1954,108,Certified-Fresh,99,72,Upright,95,52205,14,71,1
Once,"Drama, Musical & Performing Arts",18-05-07,18,05,2007,86,Certified-Fresh,97,158,Upright,91,191047,48,153,5
Once Bitten,"Comedy, Horror",15-11-85,15,11,1985,93,Rotten,18,11,Spilled,39,28315,0,2,9
Once I Was A Beehive,"Comedy, Drama",14-08-15,14,08,2015,119,Fresh,75,8,Upright,70,431,1,6,2
Once in the Life,"Drama, Mystery & Suspense",01-02-01,01,02,2001,107,Rotten,28,25,Spilled,56,1196,14,7,18
Once Upon a Crime,Comedy,01-06-91,01,06,1991,94,Rotten,0,6,Spilled,42,2014,0,0,6
Once Upon a Deadpool,"Action & Adventure, Comedy",12-12-18,12,12,2018,118,Rotten,55,60,Spilled,54,1115,11,33,27
Once Upon a Forest,"Action & Adventure, Animation, Kids & Family",18-06-93,18,06,1993,80,Rotten,22,23,Upright,69,6457,11,5,18
Once Upon a Time in America,Drama,01-06-84,01,06,1984,139,Certified-Fresh,87,53,Upright,93,74939,13,46,7
Once Upon a Time in Anatolia,"Art House & International, Drama",04-01-12,04,01,2012,157,Certified-Fresh,92,78,Upright,74,6138,26,72,6
Once Upon a Time in Brooklyn,"Action & Adventure, Drama",03-05-13,03,05,2013,116,Rotten,0,6,Spilled,18,117,4,0,6
Once Upon a Time In Hollywood,"Comedy, Drama",26-07-19,26,07,2019,159,Certified-Fresh,85,554,,70,26410,61,474,81
Once upon a Time in Mexico,"Action & Adventure, Drama",12-09-03,12,09,2003,101,Fresh,66,169,Upright,64,285437,36,112,57
Once Upon a Time in the West,"Action & Adventure, Drama, Western",21-12-68,21,12,1968,165,Certified-Fresh,95,64,Upright,95,65809,15,61,3
Once Upon a Time in Venice,"Action & Adventure, Comedy, Mystery & Suspense",16-06-17,16,06,2017,94,Rotten,21,39,Spilled,27,661,9,8,31
Once Were Warriors,Drama,,00,01,1900,102,Certified-Fresh,93,45,Upright,95,29689,16,42,3
Ondine,"Drama, Science Fiction & Fantasy",04-06-10,04,06,2010,110,Fresh,68,101,Upright,60,20543,32,69,32
One on One,"Comedy, Drama",28-06-77,28,06,1977,98,Fresh,88,8,Upright,75,527,3,7,1
One,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",13-10-00,13,10,2000,88,Fresh,65,17,Upright,90,558,5,11,6
One & Two,"Drama, Mystery & Suspense",14-08-15,14,08,2015,90,Rotten,44,16,Spilled,34,211,7,7,9
One Bad Cat: The Reverend Albert Wagner Story,"Documentary, Musical & Performing Arts",24-01-08,24,01,2008,81,Fresh,67,6,,,,4,4,2
One Bright Shining Moment: The Forgotten Summer of George McGovern,"Documentary, Special Interest",16-09-05,16,09,2005,,Fresh,82,17,Upright,76,800,6,14,3
